                                     ,0          ,1          ,2                  ,3          ,4          ,5                  ,6          ,7          ,8                  ,9          ,10         ,11                 ,12        ,13        ,14                 ,15         ,16         ,17                 ,18         ,19        ,20                 ,21        ,22        ,23
                                     ,TP_Almeria ,FN_Almeria ,Hit_rate_Almeria   ,TP_Cordoba ,FN_Cordoba ,Hit_rate_Cordoba   ,TP_Granada ,FN_Granada ,Hit_rate_Granada   ,TP_Jaen    ,FN_Jaen    ,Hit_rate_Jaen      ,TP_Malaga ,FN_Malaga ,Hit_rate_Malaga    ,TP_Sevila  ,FN_Sevilla ,Hit_rate_Sevilla   ,TP_Cadiz   ,FN_Cadiz  ,Hit_rate_Cadiz     ,TP_Huelva ,FN_Huelva ,Hit_rate_Huelva
Citricos Frutal                      ,12273.0    ,311588.0   ,0.0378958874331889 ,592.0      ,36981.0    ,0.0157559949964069 ,2085.0     ,560580.0   ,0.0037055796966223 ,7.0        ,20481.0    ,0.0003416634127294 ,55062.0   ,39882.0   ,0.5799418604651163 ,5613.0     ,3317.0     ,0.6285554311310191 ,9461.0     ,4449.0    ,0.6801581595974119 ,4310.0    ,2619.0    ,0.6220233799971135
Citricos                             ,527627.0   ,320755.0   ,0.6219214929123908 ,704184.0   ,184388.0   ,0.7924895225147766 ,16210.0    ,28058.0    ,0.3661787295563387 ,26.0       ,840.0      ,0.0300230946882217 ,652120.0  ,285683.0  ,0.6953699231075183 ,2746907.0  ,561610.0   ,0.8302532524390838 ,116030.0   ,62946.0   ,0.6482992133023422 ,1092967.0 ,741405.0  ,0.5958262555250516
Citricos-Frutal de cascara           ,132.0      ,1170.0     ,0.1013824884792626 ,56.0       ,2713.0     ,0.0202239075478512 ,719.0      ,2205.0     ,0.2458960328317373 ,0.0        ,31.0       ,0.0                ,434.0     ,762.0     ,0.362876254180602  ,62.0       ,194.0      ,0.2421875          ,42.0       ,1.0       ,0.9767441860465116 ,100.0     ,78.0      ,0.5617977528089888
Citricos-Viñedo                      ,28067.0    ,600.0      ,0.9790700108138276 ,750442.0   ,0.0        ,1.0                ,2093561.0  ,189.0      ,0.9999097313432836 ,78689.0    ,16.0       ,0.9997967092306717 ,77.0      ,197.0     ,0.2810218978102189 ,55.0       ,0.0        ,1.0                ,18.0       ,15.0      ,0.5454545454545454 ,66.0      ,42.0      ,0.6111111111111112
Frutal de Cascara-Frutal             ,239.0      ,4389.0     ,0.0516421780466724 ,48.0       ,4437.0     ,0.0107023411371237 ,5578.0     ,745537.0   ,0.0074262929112053 ,115.0      ,70883.0    ,0.0016197639370123 ,942.0     ,5860.0    ,0.1384886798000588 ,158.0      ,152.0      ,0.5096774193548387 ,153.0      ,33.0      ,0.8225806451612904 ,79.0      ,212.0     ,0.2714776632302405
Frutal de Cascara-Olivar             ,8472.0     ,26163.0    ,0.2446080554352533 ,533.0      ,1618.0     ,0.2477917247791724 ,10333.0    ,19204.0    ,0.3498324135829637 ,6844.0     ,7652.0     ,0.472130242825607  ,55860.0   ,140465.0  ,0.2845282057812301 ,417.0      ,919.0      ,0.312125748502994  ,113.0      ,180.0     ,0.3856655290102389 ,285.0     ,199.0     ,0.5888429752066116
Frutal de Cascara                    ,1876250.0  ,3697743.0  ,0.3366078859446002 ,643763.0   ,672049.0   ,0.4892515040142512 ,4654941.0  ,4343541.0  ,0.5173029184255744 ,258062.0   ,370890.0   ,0.4103047609356517 ,520785.0  ,1169308.0 ,0.3081398479255283 ,929182.0   ,616828.0   ,0.6010193983221325 ,92409.0    ,118733.0  ,0.4376628051264078 ,105329.0  ,107656.0  ,0.4945371739793882
Frutal de Cascara-Viñedo             ,1335.0     ,2856.0     ,0.3185397279885469 ,29.0       ,124.0      ,0.1895424836601307 ,1623.0     ,3410.0     ,0.3224716868666799 ,92.0       ,576.0      ,0.1377245508982036 ,487.0     ,1310.0    ,0.2710072342793544 ,2.0        ,8.0        ,0.2                ,62.0       ,31.0      ,0.6666666666666666 ,176.0     ,315.0     ,0.3584521384928716
Frutal                               ,467999.0   ,2385042.0  ,0.164035147058875  ,140473.0   ,320028.0   ,0.3050438544107396 ,1548675.0  ,2687598.0  ,0.365574881505512  ,235756.0   ,586604.0   ,0.2866822316260518 ,1279687.0 ,2557031.0 ,0.3335368927296716 ,464087.0   ,311007.0   ,0.5987493129865539 ,209724.0   ,190168.0  ,0.5244516019325218 ,427760.0  ,900326.0  ,0.3220875756539862
