,Aciertos,Fallos,Porcentaje de acierto,Num Pixeles
Citricos Frutal,0,3906,0.0,3906
Citricos,0,896,0.0,896
Citricos-Frutal de cascara,0,23,0.0,23
Citricos-Viñedo,460316,0,100.0,460316
Frutal de Cascara-Frutal,11,19624,0.056,19635
Frutal de Cascara-Olivar,46,81,36.22,127
Frutal de Cascara,129189,50960,71.712,180149
Frutal de Cascara-Viñedo,70,159,30.568,229
Frutal,15507,30847,33.453,46354
Invernadero y cultivos bajo plastico,165,1523,9.775,1688
Olivar-Citricos,0,0,0.0,0
Olivar-Frutal,92,0,100.0,92
Olivar,34878,41674,45.561,76552
Tierra Arable,42194191,7095839,85.604,49290030
Huerta,5662,7075,44.453,12737
Frutal-Viñedo,202,445,31.221,647
Viñedo,2416660,298663,89.001,2715323
Olivar-Viñedo,61,51,54.464,112
